,location,price,bedrooms,bathrooms,floors,lands,realestate_category,type,link
11," Boeung Tumpun 2, Meanchey, Phnom Penh","$115,112$80,000SAVE30.50%",1,1.0,55,,Apartment,buy,https://www.realestate.com.kh/buy/boeung-tumpun-2/1-bed-1-bath-apartment-223400/
12,Platinum Coast,"$60,152",1,1.0,35,,Condo,buy,https://www.realestate.com.kh/new-developments/platinum-coast/1-bed-1-bath-condo-222289/
13," Tuek Thla, Sen Sok, Phnom Penh","$77,164","['1', '3']",,"['30', '127']",,,buy,https://www.realestate.com.kh/new-developments/orkide-the-royal-condominium/
14," Tonle Bassac, Chamkarmon, Phnom Penh","$275,000","['1', '3']",,"['80', '196']",,Condo,buy,https://www.realestate.com.kh/new-developments/odom-living/
15," BKK 1, Chamkarmon, Phnom Penh","$181,000","['2', '3']",,"['65', '153']",,,buy,https://www.realestate.com.kh/new-developments/j-tower-2-condominium/
16,"  , Sangkat Buon, Sihanoukville, Sihanoukville","$73,000",,,"['32', '66']",,Project,buy,https://www.realestate.com.kh/new-developments/star-bay/
17," Khmuonh, Sen Sok, Phnom Penh","$185,000","['4', '7']",,"['143', '624']",,Borey,buy,https://www.realestate.com.kh/boreys/prince-one-tropica/
18,LZ Sea View Residences,"$136,000",2,2.0,68,,Condo,buy,https://www.realestate.com.kh/new-developments/lz-sea-view-residences-98771/2-bed-2-bath-condo-186621/
19," Nirouth, Chbar Ampov, Phnom Penh","$68,000","['1', '4']",,"['32', '1800']",,Project,buy,https://www.realestate.com.kh/new-developments/vue-aston/
20,LZ Sea View Residences,"$99,946",1,1.0,64,,Condo,buy,https://www.realestate.com.kh/new-developments/lz-sea-view-residences-98771/1-bed-1-bath-condo-105847/
